J1,PO1,PD1,UTC_2021,UTC_1970,ToD,Google_DepTime,car_freeflow_TravelTime_sec,car_InTraffic_TravelTime_sec,car_distance_m,car_mode,car_status,PT_TravelTime_sec,PT_distance_m,PT_mode,PT_status,Walk_TravelTime_sec,Walk_distance_m,Walk_mode,Walk_status,Bicycle_TravelTime_sec,Bicycle_Distance_m,Bicycle_mode,Bicycle_status,gh_car_sec,gh_pt_sec,gh_foot_sec,gh_bike_sec
7505,G336FB,KA13JA,3/23/21 16:00,1/1/70 0:00,4:00:00 PM,1616515200,2153,2235,49280,driving,OK,6273,45279,transit,OK,33158,44735,walking,OK,8517,45280,bicycling,OK,2215,4729,34337,9370
7506,KY113EW,KY127DZ,3/23/21 10:30,1/1/70 0:00,10:30:00 AM,1616495400,576,647,7014,driving,OK,976,6792,transit,OK,4601,6090,walking,OK,1370,6090,bicycling,OK,406,3621,4333,1372
14647,KY113EW,KY127DZ,4/23/21 8:45,1/1/70 0:00,8:45:00 AM,1619171100,586,599,7037,driving,OK,991,6817,transit,OK,4583,6065,walking,OK,1363,6074,bicycling,OK,406,3621,4333,1372
7507,KW151SF,KW151LE,3/23/21 19:15,1/1/70 0:00,7:15:00 PM,1616526900,475,478,5479,driving,OK,1569,9941,transit,OK,3853,5445,walking,OK,938,5479,bicycling,OK,242,768,3925,986
7508,FK77UT,FK77XJ,3/23/21 7:45,1/1/70 0:00,7:45:00 AM,1616485500,93,97,1324,driving,OK,92,127,transit,OK,92,127,walking,OK,22,127,bicycling,OK,45,270,270,127
7509,G775RF,G776DT,3/23/21 13:00,1/1/70 0:00,1:00:00 PM,1616504400,274,289,2274,driving,OK,1163,3509,transit,OK,1533,2009,walking,OK,481,2004,bicycling,OK,161,1056,1412,456
7510,G129NX,G117RY,3/23/21 12:30,1/1/70 0:00,12:30:00 PM,1616502600,457,444,2240,driving,OK,1279,2721,transit,OK,1307,1817,walking,OK,390,1927,bicycling,OK,214,1319,1344,488
7511,G767ND,G767LS,3/23/21 15:00,1/1/70 0:00,3:00:00 PM,1616511600,184,199,1004,driving,OK,858,993,transit,OK,858,993,walking,OK,428,1111,bicycling,OK,93,587,636,221
7512,DD46NB,DD82DT,3/23/21 16:30,1/1/70 0:00,4:30:00 PM,1616517000,1388,1477,21304,driving,OK,2381,21669,transit,OK,15428,20913,walking,OK,4454,21372,bicycling,OK,935,2519,16454,4640
7513,IV25HZ,IV23TW,3/23/21 10:00,1/1/70 0:00,10:00:00 AM,1616493600,189,204,1235,driving,OK,729,1079,transit,OK,729,1079,walking,OK,195,1200,bicycling,OK,108,643,645,223
7514,G758JG,G758JG,3/23/21 9:00,1/1/70 0:00,9:00:00 AM,1616490000,0,0,0,driving,OK,0,0,transit,OK,0,0,walking,OK,0,0,bicycling,OK,0,0,0,0
7515,G535LA,G40ED,3/23/21 10:05,1/1/70 0:00,10:05:00 AM,1616493900,723,721,11905,driving,OK,2235,9522,transit,OK,7417,9697,walking,OK,2232,10464,bicycling,OK,681,2213,7588,2194
7516,KA120NG,KA120NH,3/23/21 20:40,1/1/70 0:00,8:40:00 PM,1616532000,34,35,291,driving,OK,212,291,transit,OK,212,291,walking,OK,78,291,bicycling,OK,27,220,220,61
7517,KA35HD,KA35DH,3/23/21 19:00,1/1/70 0:00,7:00:00 PM,1616526000,152,160,767,driving,OK,346,449,transit,OK,346,449,walking,OK,151,449,bicycling,OK,78,320,320,109
7518,AB241SN,AB106RT,3/23/21 16:00,1/1/70 0:00,4:00:00 PM,1616515200,746,800,7185,driving,OK,1714,4968,transit,OK,3756,4906,walking,OK,1036,4862,bicycling,OK,410,1099,3534,1009
7520,G512NH,G512AJ,3/23/21 12:15,1/1/70 0:00,12:15:00 PM,1616501700,116,116,367,driving,OK,237,321,transit,OK,237,321,walking,OK,95,366,bicycling,OK,58,312,312,130
7521,KY86HX,KY26QL,3/23/21 10:00,1/1/70 0:00,10:00:00 AM,1616493600,1733,1765,21455,driving,OK,4580,27237,transit,OK,16440,21916,walking,OK,4160,21155,bicycling,OK,1338,4307,16306,5052
7522,EH497SE,EH497AS,3/23/21 13:30,1/1/70 0:00,1:30:00 PM,1616506200,210,227,707,driving,OK,249,349,transit,OK,249,349,walking,OK,117,349,bicycling,OK,67,245,251,164
