PO1,PD1,distance(m),durations(s),asecnd(m),descent(m)
FK77JP,FK77SH,3772.0,275.4,10.3,9.0
G156HJ,G120XP,5024.8,656.6,52.9,41.8
G120LY,G120XP,2133.9,364.8,34.1,30.7
EH151QB,EH153PX,1624.1,183.6,25.9,2.8
DD83TG,DD83JA,1253.6,135.8,2.5,18.4
DD108JF,DD96JE,13739.8,862.0,95.9,43.7
G428LL,G15DB,3607.4,388.7,7.5,21.4
PA296TS,PA318UZ,22729.7,1320.4,243.5,224.2
PA296TS,PA296UE,1402.0,207.8,10.5,11.5
G38NQ,PA296UE,152985.1,7901.0,1481.8,1484.5
AB452RX,AB561TA,17416.8,1027.7,150.7,132.5
G823DR,G823DX,148.5,35.6,0,1.4
G116RH,G140SW,1109.7,137.2,1.5,2.2
G116RH,G116HY,104.2,8.3,0.3,0
PH337AP,PH336QF,6851.6,625.4,34.1,29.1
AB437FJ,AB438QJ,15002.9,851.9,92.8,85.8
AB437FJ,AB437GB,491.0,117.8,1.2,0.8
AB437FJ,AB439BR,3242.5,382.7,7.7,18.8
TD57EF,TD58BB,2491.6,367.1,45.3,12.8
TD57HH,TD58BB,1385.2,228.6,40.9,5.9
TD58LT,TD58BB,1993.0,228.5,48.1,8.3
TD57FB,TD58BB,3115.6,445.2,51.2,14.2
TD57EF,TD57HH,1081.9,165.5,3.5,4.9
KY120XT,KY120DA,1623.9,193.0,34.3,4.2
KY120XT,KY120XS,374.6,75.6,4.3,0.3
AB117WA,AB119QP,2157.1,249.8,14.4,10.2
AB423AU,AB421LE,6460.9,460.1,53.1,54.9
G404NB,G783QD,18097.2,1622.9,202.1,80.6
KY84AH,KY83RW,2119.4,341.4,15.8,25.8
EH106PX,EH35NE,8617.3,1347.6,44.7,164.4
EH106PX,EH106AA,2531.2,369.5,6.5,60.3
IV159LT,IV159UB,1388.6,197.9,37.8,0.3
IV67QX,IV159UB,12914.3,764.3,159.0,152.0
IV159LT,IV159LY,1486.7,193.5,37.0,11.8
AB392GE,AB392AU,1920.8,209.6,0.4,29.9
KY12AQ,KY11LN,2472.8,292.7,8.5,41.0
EH178SW,KY26QU,56478.1,2363.8,428.6,492.4
EH152BD,EH421NJ,42801.3,2029.6,263.2,251.3
G332QH,G24PS,7585.2,612.9,29.2,60.2
DD84HN,DD84TN,1132.9,143.2,37.0,0
DD84HN,DD84DQ,656.2,126.4,0.3,17.1
IV306EZ,IV301TY,2872.3,373.6,17.4,21.6
IV301EE,IV301TY,744.9,125.8,1.7,7.2
IV301BU,IV301TY,699.9,119.4,1.5,7.3
IV305RF,IV301TY,10394.7,977.9,93.6,97.7
EH35JY,EH39EQ,3351.3,585.6,94.4,24.2
EH46LS,EH39EQ,8467.3,1147.8,103.9,57.1
ML74DZ,ML27AU,12443.4,1019.4,89.1,174.2
DD49DB,DD48LR,3121.7,349.4,9.8,30.8
DD49DB,DD49BS,1939.3,245.0,17.4,15.9
KA181QW,KA55BB,12195.0,746.5,112.8,102.5
EH458SW,EH459ED,1147.9,261.2,21.0,6.3
ML54HP,ML53JH,2774.8,328.4,32.0,24.2
ML54HP,ML53JH,2774.8,328.4,32.0,24.2
G630TQ,G830PX,26169.6,1450.7,182.3,246.2
KA181LP,KA181LU,304.9,58.1,0,5.5
KY127DZ,KY114UN,3185.0,334.4,28.6,23.2
KY113EW,KY114UN,9259.9,653.8,81.3,30.9
EH546PP,EH470RL,11698.1,811.2,78.6,43.6
G720TF,EH470RL,38577.1,2243.1,317.1,281.8
EH546PP,EH530EW,5190.5,589.1,34.7,50.1
EH546PP,EH546EG,1111.8,177.8,22.3,0.3
EH546PP,ML69DG,34533.4,1616.8,230.3,230.7
ML51PP,ML69DG,3683.8,493.2,46.7,9.2
EH546PP,EH483AW,16714.8,1025.6,116.0,66.0
EH546PP,FK77ZH,49373.2,2184.3,245.8,362.8
EH546PP,EH141RX,24162.5,1397.8,112.1,191.9
KA89TB,KA92SQ,8880.9,548.7,76.0,62.0
DG64NA,DG73EE,15165.9,773.4,111.8,72.1
DG71EG,DG73EE,1353.7,151.7,12.6,3.5
PH20LT,PH12NH,2698.3,347.5,36.6,11.6
KA152AE,KA152EE,1234.5,164.8,22.6,9.4
G814HT,G823LF,11289.5,790.7,100.4,81.6
ML54EY,ML66HH,4564.1,570.4,82.5,12.0
PH12TL,PH28DF,4391.5,516.8,44.1,36.1
G132TG,G133YL,1464.2,248.4,10.0,12.6
G132TG,G133XQ,1216.7,162.9,6.4,10.4
G132TG,G132UL,681.6,140.1,1.0,1.8
G132TG,G131SJ,1876.2,278.9,4.2,4.0
G24QY,G131SJ,7071.3,679.8,38.7,56.7
ZE29AA,ZE29AJ,5027.0,387.8,65.1,53.5
ZE29AA,ZE29AW,7704.1,574.3,98.7,110.1
ZE29AA,ZE29AL,3142.7,243.7,58.1,62.4
ZE29AN,ZE29AL,2279.8,182.5,30.8,16.1
ZE29AW,ZE29AL,4612.5,349.0,48.7,41.0
ZE29AA,ZE29AG,845.2,152.1,13.6,1.4
ZE29AA,ZE29AG,845.2,152.1,13.6,1.4
ZE29AA,ZE29AE,1591.3,133.3,41.7,22.2
ZE29AJ,ZE29AE,4756.3,363.5,64.3,65.9
DG87HN,DG86JW,11098.4,575.5,63.6,72.1
EH549BU,EH309AF,22884.8,1823.1,95.1,200.0
G815NZ,G815JU,865.5,204.7,18.2,0.5
G815BQ,G815JU,667.2,160.1,0,16.3
G815NZ,G816PZ,689.2,162.4,10.4,0.5
G467AL,G443DU,4130.5,384.7,26.4,22.5
G715NL,G715NR,297.9,71.5,1.0,0.4
KA128JF,KA114JG,7807.4,527.1,32.4,24.0
EH413RD,EH320RG,8832.1,555.8,85.3,132.5
EH413RD,EH320RG,8832.1,555.8,85.3,132.5
FK27NL,FK29FL,1804.8,215.5,8.5,6.5
FK27NL,FK29AJ,2185.0,261.6,8.9,5.5
EH394RG,EH394BB,1088.9,160.6,0.2,18.4
EH394RG,EH394RG,0,0,0,0
EH394RG,EH394RG,0,0,0,0
EH394SB,EH394RG,1360.6,218.9,14.7,13.1
EH394BB,EH394RG,1819.9,247.0,26.2,5.7
EH394RG,EH394SB,1360.6,218.9,12.8,15.1
EH11QW,EH11QW,0,0,0,0
EH11QW,EH128LN,7732.2,973.2,36.0,68.6
KA128NG,KA120PE,3322.0,429.0,9.3,6.6
ML52PD,G402UH,15206.4,925.2,52.0,124.5
AB515QQ,AB425EL,49677.2,2564.7,348.4,391.6
KA181BF,KA67NY,23221.6,1485.8,242.5,182.7
KA181BF,KA66GJ,26872.8,1447.7,184.1,268.8
AB115EJ,AB245DA,1774.8,241.4,18.8,8.9
AB243HG,AB245DA,596.6,105.9,2.2,7.8
AB219WF,AB245DA,8129.3,905.0,35.2,112.7
AB115EJ,AB155PS,3496.9,424.1,42.4,5.7
AB155LT,AB155PS,859.3,154.9,1.3,6.4
AB115EJ,AB245RX,2018.2,280.5,13.5,7.2
AB115EJ,AB219RN,8897.7,947.9,138.4,66.4
AB115EJ,AB515EB,35509.8,2143.6,392.6,323.5
EH477NF,EH497AL,14201.7,1135.3,183.5,290.3
EH519RS,EH510PJ,2274.8,198.2,12.6,33.5
EH519RS,EH510PJ,2274.8,198.2,12.6,33.5
EH519AB,EH510PJ,2593.4,253.8,65.1,21.2
G662SA,G661BN,3776.2,489.2,19.0,41.1
ZE29QP,ZE29QP,0,0,0,0
ZE29QP,ZE29QP,0,0,0,0
ZE29QP,ZE29QP,0,0,0,0
ZE29QP,ZE29QP,0,0,0,0
ZE29QP,ZE29QP,0,0,0,0
ZE29QP,ZE29QP,0,0,0,0
PA32TJ,ZE29QP,767871.8,166521.0,4952.8,4935.6
G775FB,ML36EE,23645.7,1550.3,153.3,241.8
G775QZ,ML36EE,24839.1,1732.7,180.6,243.4
ML37LH,ML36EE,1870.6,252.0,0.2,50.9
ML119AG,ML36EE,31049.6,1572.5,350.7,505.1
ML117DF,ML36EE,31860.2,1646.1,353.1,540.5
EH483RN,EH13AA,45299.6,2822.7,223.5,361.8
EH74BQ,EH13AA,760.2,176.1,14.2,5.7
EH105BJ,EH13AA,4935.5,739.1,42.1,75.7
DD46RB,DD114AS,27860.3,1672.9,130.9,137.2
DD84PS,PH165FL,61711.8,3137.3,510.2,577.8
DD84PS,DD81QT,4966.2,431.3,11.0,110.3
DD84PS,DD84PS,0,0,0,0
DD84PS,DD84PS,0,0,0,0
DD84PS,DD84PS,0,0,0,0
DD84PS,DD84PS,0,0,0,0
DD84PS,DD84PS,0,0,0,0
PH165FL,DD84PS,61078.0,3133.3,588.0,516.2
DD81QT,DD84PS,4825.5,415.4,112.0,9.7
EH64LQ,EH66NX,398.6,103.5,0,12.3
EH222BP,EH66NX,15497.4,1507.7,89.3,139.6
EH68DR,EH66NX,3316.1,483.8,9.7,27.1
EH51FF,EH66NX,4383.8,567.4,23.4,46.3
EH65EG,EH66NX,3165.0,546.3,12.8,22.1
EH64LQ,EH64LH,17.3,4.1,0.1,0
ML12SZ,ML37DZ,4302.4,393.9,31.2,51.3
G758UL,ML37DZ,17154.9,1227.9,100.2,244.3
ML74BT,ML37DZ,25824.9,1460.1,158.4,333.0
G717BF,ML37DZ,11786.6,705.3,70.6,48.9
DD49FF,DD77LP,17921.5,1127.2,125.2,193.6
DD49FF,DD22HP,7352.2,725.1,85.3,61.9
EH125EY,EH88HJ,4373.7,724.7,42.3,62.0
EH125EY,EH88HJ,4373.7,724.7,42.3,62.0
EH125EY,EH88HJ,4373.7,724.7,42.3,62.0
EH125EY,EH222LA,20419.8,1634.7,198.5,192.6
EH125EY,EH68JW,5429.8,849.5,53.7,89.7
EH125EY,EH209LY,12723.9,1289.1,187.3,89.2
EH209NY,EH209LY,820.8,141.3,2.0,5.5
EH125EY,EH288RL,13100.1,1125.8,100.9,53.8
G537AA,G524JH,3745.6,398.6,18.2,25.7
KY155HX,KY155JE,604.4,106.7,4.1,0.4
KY76ES,KY155JE,17140.3,1101.2,44.6,183.6
KY155HX,KY154JP,1090.5,132.8,5.7,2.2
KY155HX,KY155DG,1337.7,211.5,20.7,4.4
KY155DG,KY155DG,0,0,0,0
KY155DG,KY155DG,0,0,0,0
AB101FE,AB158PJ,8676.9,837.1,141.2,19.7
AB510BH,AB158PJ,30152.3,1560.3,323.7,300.5
AB535QT,AB158PJ,57886.1,2787.5,552.9,496.2
AB101FE,AB251HL,879.5,126.1,3.1,6.7
AB243FX,AB419ZA,26181.3,1344.5,193.3,179.2
AB243FX,AB421DD,49543.7,2429.4,330.8,337.7
AB243FX,AB116XN,4849.5,633.1,47.7,40.1
AB243FX,AB242PX,1747.9,261.7,31.9,4.9
AB510XG,AB510TF,879.2,82.4,1.4,10.1
KA14DD,KA36EQ,10361.4,572.7,144.0,26.0
TD11JZ,TD11PX,1515.2,245.7,10.7,29.7
DD11LN,DD46ET,1598.8,189.4,27.8,2.2
IV306BF,IV306LB,474.8,60.2,5.1,0
AB526QS,AB518GJ,19673.4,1147.3,157.4,144.4
AB534EE,AB518GJ,16911.2,796.3,209.1,124.7
ML110BA,G758ZT,36888.8,1798.9,283.4,324.8
DD22DW,PH13RN,40874.2,1724.6,215.0,315.2
G329EF,G329EF,0,0,0,0
G329EF,G329EF,0,0,0,0
G659EW,G659EW,0,0,0,0
G659EW,G659EW,0,0,0,0
FK66DA,G659EW,15378.0,1112.8,136.4,118.9
EH546GH,EH546DN,2797.3,378.2,36.8,21.9
EH546HW,EH546DN,1927.7,233.0,2.1,15.5
AB217DU,AB219EH,3886.1,430.4,24.6,35.9
AB217DU,AB116JL,11023.7,1212.6,65.5,102.5
AB217DU,AB106RA,11129.7,1180.3,93.3,123.9
AB217DU,AB154EP,10030.3,985.3,101.6,85.2
AB217DU,AB123UT,24242.7,1310.7,328.8,304.0
AB217DU,AB327EP,16300.4,978.5,227.2,169.8
AB326UF,AB327EP,9406.8,588.4,50.1,58.7
KA31LG,KA31LG,0,0,0,0
KA31LG,KA31LG,0,0,0,0
EH114SP,EH141PQ,3140.1,440.0,11.0,16.1
EH414PJ,EH222JS,27384.0,1378.9,238.3,385.9
AB156EE,AB107GW,4635.4,458.6,2.4,91.1
AB156EE,AB315ZB,28737.9,1815.8,186.5,220.1
PA345JL,PA344GB,3358.5,419.2,25.6,31.6
KY75AD,KY75AE,222.6,53.4,1.1,0
KY75AD,KY50EE,14236.5,938.9,117.6,107.4
AB423PH,AB421DU,3856.5,548.5,9.2,42.3
G326XY,G326XY,0,0,0,0
G326XY,G326XY,0,0,0,0
EH128ER,EH165BP,8631.8,1104.6,61.9,22.0
G413EA,G432RG,3000.7,437.7,30.7,7.4
G413EA,EH112JP,74112.6,3467.3,489.6,454.5
G49DN,G36RQ,1320.5,182.6,18.9,7.3
G49DN,G206DW,1943.6,289.7,22.9,24.4
EH549BS,EH548PS,7346.8,752.1,78.1,54.5
HS29NX,HS29NX,0,0,0,0
HS29NX,HS29NX,0,0,0,0
HS29NX,HS29NX,0,0,0,0
HS29NX,HS29NX,0,0,0,0
EH299DS,EH47QD,8844.4,817.3,77.1,63.8
EH217DP,EH320BQ,11553.6,627.2,63.7,66.3
G524HS,G524HS,0,0,0,0
G524HS,G524HS,0,0,0,0
PA344DR,PA344DR,0,0,0,0
PA344DR,PA344DR,0,0,0,0
IV24JL,IV38GX,3516.9,488.9,8.9,44.3
IV11JJ,IV38GX,1372.7,239.5,5.7,17.0
IV24JL,IV11JJ,2203.4,260.1,3.3,25.3
IV24JL,IV38NP,6123.4,688.2,86.0,39.7
EH209SB,EH192LA,3405.4,418.7,43.3,62.6
EH192BP,EH192LA,327.2,62.0,4.4,0
EH192BP,EH192LA,327.2,62.0,4.4,0
EH209SB,EH209NG,1757.8,182.4,19.8,10.1
AB515HG,AB510XT,16808.7,961.8,183.4,200.4
KY84QP,KY85AF,1779.2,282.1,18.1,1.4
KY85AF,KY85AF,0,0,0,0
EH548SB,EH479AP,16796.1,1057.9,131.6,59.3
PA168QY,PA151LX,2061.2,273.3,4.3,43.9
PA168QY,PA168QY,0,0,0,0
PA168QY,PA168QY,0,0,0,0
PA168QY,PA168QY,0,0,0,0
PA151LX,PA168QY,1943.3,291.2,36.2,3.9
KW163LY,KW172LE,11166.7,893.3,57.9,93.3
G132HH,G11HL,10518.8,1042.9,59.0,60.1
PA286JG,PA286ET,206.7,34.8,0.7,1.2
FK102NL,FK101AB,942.3,97.7,2.8,4.3
FK102NL,FK102NL,0,0,0,0
FK102NL,FK102NL,0,0,0,0
FK102NL,FK102NL,0,0,0,0
FK102NL,FK102NL,0,0,0,0
G814JS,G814JS,0,0,0,0
G814JS,G814JS,0,0,0,0
ML39TA,ML39TA,0,0,0,0
ML39TA,ML39TA,0,0,0,0
EH459LU,ML126BJ,35388.4,1935.4,317.0,255.4
IV361LR,IV362AB,4730.0,300.0,33.7,7.3
IV361LR,IV363BT,1668.0,168.6,16.2,0.8
IV363XL,IV363BT,4462.3,352.4,28.4,6.1
EH470LH,EH470QU,1661.2,273.5,0.8,32.9
G459EY,G459SF,594.4,125.2,0,5.5
PA154SB,PA153JS,1376.0,196.1,63.0,10.7
PA58ES,PA11GZ,6518.1,697.9,38.0,49.1
PA27SL,PA11GZ,2306.5,362.9,9.6,40.8
PA26PA,PA11GZ,1106.2,182.8,6.9,18.0
PA27SJ,PA11GZ,3197.9,426.9,15.6,47.8
G333BZ,G333BZ,0,0,0,0
G333BZ,G333BZ,0,0,0,0
AB244NQ,AB243DR,3370.8,390.4,9.7,63.2
G720GB,ML36NH,3767.6,467.5,10.7,69.5
G720GB,ML53LN,13085.9,1184.5,115.1,153.0
IV361NT,IV306GL,21926.1,1325.6,131.3,135.1
EH421NB,EH51QE,52264.2,2975.2,298.4,282.4
FK94UY,FK95LJ,12450.6,857.0,52.1,52.6
FK66JS,FK66DJ,995.7,134.9,7.2,5.7
FK66PH,FK66DJ,934.3,117.3,2.6,3.2
EH75LG,EH87AS,2193.1,348.2,26.5,13.7
G403QE,G314TF,1995.9,222.6,18.7,2.5
KY12NF,KY11HR,1341.3,171.2,1.8,27.7
KY11GA,KY11HR,3187.7,442.0,17.6,28.7
KY30ES,KY11HR,12577.7,780.8,169.0,177.3
AB243UF,AB106RX,4600.4,537.4,54.6,46.9
PA124AT,PA124HB,721.2,134.1,0,14.4
G642TS,G667DH,8300.9,597.3,64.3,67.1
G642TS,G612BD,9269.0,634.0,91.0,93.1
G642TS,G227SB,9279.8,743.1,75.1,76.3
G642TS,G642TB,3350.6,463.0,22.4,21.3
EH106PL,EH139JF,1292.7,285.4,0.4,28.0
EH288PW,EH139JF,17371.7,1003.4,215.9,143.1
DG14AG,DG20EF,6883.0,640.9,53.1,55.9
IV316AX,IV316PS,147.3,26.5,0,6.7
KW172PU,KW172PU,0,0,0,0
KW172PU,KW172PU,0,0,0,0
G643PB,G331SD,4874.7,570.4,41.7,18.1
G643PB,G331SD,4874.7,570.4,41.7,18.1
KY75TL,KY75LT,2883.4,326.4,36.3,36.5
KY50UQ,KY75LT,6068.1,504.0,30.6,75.1
G49BZ,PH26EA,116363.7,4813.3,886.5,864.1
PH29HP,PH29EG,965.1,176.8,28.0,2.6
EH41QX,PH29EG,66120.3,3201.4,636.8,615.6
G641NF,G641UH,3079.1,336.0,17.9,31.3
G429QE,G429JU,450.3,76.8,1.9,2.9
EH151AH,EH218AX,9621.0,801.6,70.8,39.0
KW147HN,KW147YL,28970.0,1715.9,299.7,261.0
KA35LE,KA33HN,1039.6,126.3,18.2,3.0
KA35BY,KA33HN,895.2,115.6,18.0,2.7
KA35LE,KA33FD,1254.9,115.5,22.6,3.6
AB154DP,AB154PB,668.8,104.9,4.4,5.1
KY86AE,KY169UH,19306.8,1132.9,226.4,226.2
IV363BN,IV362HF,2908.1,302.7,7.5,12.8
IV363BN,IV361PF,674.5,72.8,1.8,3.2
EH216JE,EH331NR,13214.0,1049.1,130.6,33.7
DD97PL,DD97DL,1664.1,145.4,13.5,8.9
IV25ER,IV38RG,15853.2,891.2,92.5,259.8
KA308AB,PA191DB,22226.3,1397.1,274.0,231.3
KA308AB,KA256AW,14692.0,727.0,231.9,170.3
KA308AB,KA308SN,5270.9,536.3,91.5,7.4
IV159TP,IV159TT,6098.7,428.0,121.9,44.8
DD83LQ,DD83AL,1128.8,183.7,9.6,5.6
DD83LQ,DD83AB,1046.7,148.1,6.6,5.6
DD83AG,DD83AB,1393.5,162.6,5.9,7.0
G741JP,G768QN,7166.7,637.3,29.5,108.3
G741JP,G767YH,7803.1,629.0,34.0,113.6
G466ED,G767YH,4901.7,523.3,67.9,14.7
G741JP,DG97TA,137784.5,6559.6,1002.2,1156.0
KW36AS,KW36DB,1604.4,187.0,5.6,36.6
IV57PX,IV57NB,2177.8,144.9,44.5,5.1
IV57PX,IV57QP,116.9,26.7,0,2.6
KW151NU,KW151DA,2215.4,232.7,34.8,5.4
KW151NU,KW172EQ,10330.9,641.5,63.2,59.0
KW163DP,KW172EQ,15045.8,904.5,106.2,114.8
DD12PF,DD11UE,1567.3,196.9,3.4,28.1
G445HU,G732LG,3563.4,429.5,15.9,39.4
ML39BY,ML30PA,2056.7,267.9,5.1,22.6
KW151NZ,KW172ER,12468.6,964.4,131.8,103.5
DD82XQ,DD37JW,27110.1,1540.8,277.4,310.0
DD30QA,DD30QA,0,0,0,0
DD30QA,DD30QA,0,0,0,0
EH177QP,EH11RF,5745.0,765.8,50.5,47.2
TD60RH,TD60RH,0,0,0,0
TD60RH,TD60RH,0,0,0,0
FK125LD,FK125LJ,770.3,119.8,0,13.1
DD54EG,EH106ER,111434.7,5281.6,843.3,745.7
EH112EA,EH106ER,3597.3,492.6,56.9,10.9
AB241TU,AB241XZ,1290.9,183.9,4.0,5.2
AB238EN,AB241XZ,1044.7,142.9,3.8,13.8
AB556JY,AB555DU,2084.0,184.6,28.2,3.4
AB556JY,AB556TT,762.3,56.9,29.9,0.1
AB555DU,AB556TT,2644.9,208.0,34.6,25.3
EH320SY,EH320BY,1416.4,210.2,4.1,6.0
EH320SY,EH320BY,1416.4,210.2,4.1,6.0
KA136SG,KA203DA,1754.3,182.0,7.3,2.9
AB228WL,AB252XE,6538.6,748.0,101.8,116.2
AB253AG,AB252XE,2078.1,321.8,41.9,11.8
PA34AR,PA29LB,3798.9,439.2,58.0,17.8
PA34AR,PA31LR,2327.0,281.5,15.4,5.7
G334HJ,G349QG,1788.6,276.8,30.5,7.6
G133YZ,G140LN,1861.3,191.9,0.9,6.6
AB119JZ,AB241ZS,4810.9,580.9,24.6,57.2
AB119JZ,AB101UX,4150.9,461.6,34.4,46.6
TD69RH,TD69RH,0,0,0,0
TD69RH,TD69RH,0,0,0,0
G782SE,G782BA,741.0,68.4,0.3,36.8
G468DL,G133BH,13884.5,1242.7,55.2,74.4
G468DL,G133BH,13884.5,1242.7,55.2,74.4
ZE10HJ,ZE10AT,1386.8,124.8,14.7,8.9
DG29NQ,DG11XP,6160.4,721.4,28.3,27.3
G235PZ,G208NF,2230.4,209.2,37.4,34.0
G235PZ,G208NF,2230.4,209.2,37.4,34.0
DD83RE,DD83QW,2614.1,259.4,46.6,36.5
PA26SQ,PA29PJ,2264.5,343.3,16.9,19.5
G782EJ,PA29PJ,8234.3,861.6,45.4,99.2
ML14XJ,G717HD,9194.6,740.1,49.7,91.6
ML14XJ,ML14RT,4110.7,424.1,40.8,33.4
G115AW,G129QN,367.5,83.5,8.9,0
G115AW,G129QL,400.3,80.8,9.2,0
EH41AF,EH218BY,16335.8,1732.4,124.1,117.6
KW151YP,KW151JD,1054.2,124.0,4.5,7.6
KA20BE,KA114AN,5437.9,420.4,29.2,43.9
KA20BE,FK77LQ,82886.8,4005.3,610.9,638.9
KY120NJ,FK77LQ,37806.3,1904.6,244.3,342.6
KA20BE,KA73XG,27473.5,1369.4,148.9,157.2
KA20BE,KA92LY,19040.9,1131.3,81.0,109.8
KA20BE,KA137BL,16985.8,942.4,53.5,79.9
KA20BE,KA13TH,7364.8,652.4,45.1,37.1
KA13RB,KA13TH,798.4,173.4,8.8,1.4
EH496JG,FK20XF,7144.2,381.9,85.9,81.9
HS75PW,HS75PH,525.0,60.4,1.4,2.4
DD21BQ,DD13JS,3284.8,365.9,33.7,33.9
AB379AB,AB379BP,7671.6,387.6,81.1,111.3
FK65DN,FK65AS,307.8,50.3,1.0,1.1
FK65DN,FK41EA,1990.2,183.7,23.0,23.1
PA26EN,PA26XD,1332.9,202.9,8.0,15.1
PA26EN,PA26XD,1332.9,202.9,8.0,15.1
PA26EN,PA26XD,1332.9,202.9,8.0,15.1
PA26EN,PA26XD,1332.9,202.9,8.0,15.1
PA26EN,PA26XD,1332.9,202.9,8.0,15.1
PA26EN,PA26XD,1332.9,202.9,8.0,15.1
PA26EN,PA26XD,1332.9,202.9,8.0,15.1
PA160EL,PA151PX,5861.5,581.7,24.6,144.9
IV159JZ,IV149EL,14362.1,823.6,138.7,107.4
IV159JZ,IV170TP,18104.4,897.9,92.9,65.3
G11XJ,G511AT,4587.3,574.7,17.2,41.7
G11XJ,G511AT,4587.3,574.7,17.2,41.7
G133EY,G38NL,6789.2,707.4,26.6,27.9
EH413BU,TD60PP,56478.7,2650.3,682.9,647.1
G814DY,G823DD,11670.9,879.1,103.6,81.8
G814DY,G641QZ,18903.4,1452.9,244.9,180.5
G814DY,G741DT,26640.0,2226.7,221.2,75.1
G744XA,G741DT,1633.9,211.1,16.3,16.6
EH467EE,EH269NL,4231.3,281.0,67.6,7.6
G11JG,EH145PU,69920.4,2967.3,513.3,408.5
EH145SD,EH145PU,1292.7,159.2,1.7,11.2
EH145SD,EH145PU,1292.7,159.2,1.7,11.2
G11JG,G26NU,792.1,117.3,13.6,0.4
EH89BT,EH216JU,9573.4,1133.5,31.8,115.9
EH89BT,EH178AE,5728.6,648.0,83.7,41.6
FK53HT,FK53LZ,585.4,110.2,5.2,0
FK53HT,FK54AS,1329.7,203.7,9.1,0.3
KY127SL,KY114LF,3731.3,350.2,60.7,23.7
KY127SL,KY128PG,4063.2,407.9,42.5,42.1
EH151HX,EH332LQ,14408.7,1036.2,132.0,38.9
KA120NS,KA129NR,1196.6,278.4,2.0,3.0
KA215NT,KA129NR,11998.0,951.1,89.1,92.3
DD21EU,DD14QB,2350.1,248.1,5.2,43.4
DD14DU,DD14QB,876.0,117.9,3.8,10.6
EH64BN,EH65NX,851.7,157.5,7.3,11.4
DD54RY,DD54LU,1253.5,242.6,14.4,22.3
DD54RY,DD54LU,1253.5,242.6,14.4,22.3
DD112RA,DD54LU,18014.9,959.3,66.3,207.4
PA286HA,PA286LE,966.1,133.9,9.1,2.4
PA286AN,PA286LE,197.6,47.4,0.4,0.2
KY39AQ,KY30BS,774.7,126.0,3.8,4.8
FK53BN,FK78GA,9794.4,648.3,52.5,31.7
EH546GB,EH549JG,955.4,137.6,22.4,0
IV304LB,IV308XQ,12459.3,888.8,73.2,65.1
AB418AY,AB217LQ,27589.6,1330.0,228.4,209.2
IV201RD,IV201YR,2437.6,299.6,3.8,34.1
IV201RD,IV201YJ,1864.0,230.6,0.7,16.9
IV201RD,IV201YJ,1864.0,230.6,0.7,16.9
G741JW,ML106UZ,14902.8,931.8,135.0,87.2
G312ER,G36JD,3059.8,348.9,8.8,28.1
G727QZ,ML51DL,14378.7,1137.6,123.1,82.9
KA14SJ,ML51DL,55274.0,2935.3,400.1,347.4
ML69AX,ML51DL,3013.8,371.5,2.8,30.5
KA20BZ,ML51DL,53351.7,2982.1,380.9,333.7
ML53JA,ML51DL,1826.5,175.2,1.6,26.5
G689HJ,G689DA,548.9,77.9,5.0,5.7
G689HJ,G689DA,548.9,77.9,5.0,5.7
G689HJ,G689DA,548.9,77.9,5.0,5.7
KA13BD,G429ED,35327.4,1913.9,305.8,307.2
DD111HY,DD115AZ,1417.1,160.1,19.5,1.6
FK54HD,FK14LT,5517.9,645.1,37.4,27.1
FK54HD,FK103LA,18831.9,1115.7,79.4,70.2
FK94HR,FK103LA,13582.1,886.1,78.5,54.3
FK54HD,G650FF,16318.2,949.9,130.7,96.4
KY154HB,KY154HB,0,0,0,0
KY154HB,KY154HB,0,0,0,0
ZE29QR,ZE29TU,2106.3,231.0,22.0,17.2
ZE29QR,ZE29SW,7655.2,500.2,60.8,55.5
ZE29QR,ZE29SW,7655.2,500.2,60.8,55.5
G211TS,G211EL,1627.1,197.2,5.4,16.3
ML84RU,EH166EB,58162.2,2969.2,441.8,559.8
ML84RU,ML85DH,3603.1,374.9,27.3,45.3
PA344NN,PA344NS,592.5,106.7,4.4,9.5
PA344NN,PA344HE,1686.2,182.1,1.0,53.1
PA344LW,PA344HE,685.3,125.7,5.7,2.5
EH221BB,EH421XS,37305.2,1695.2,220.3,245.9
PA12RL,PA12SL,1595.7,214.3,10.4,13.3
PA12RL,PA12SL,1595.7,214.3,10.4,13.3
G669AG,G650ER,9690.7,737.8,101.3,54.1
KY26QA,KY12RU,4840.8,408.8,17.9,77.1
KY26QA,KY13HS,7528.4,394.2,28.3,42.0
FK83RQ,FK83RQ,0,0,0,0
FK83RQ,FK83RQ,0,0,0,0
FK83RQ,FK83RQ,0,0,0,0
FK83RQ,FK83RQ,0,0,0,0
FK83RQ,FK83RQ,0,0,0,0
FK83RQ,FK83RQ,0,0,0,0
KA120DX,KA111DJ,3574.8,394.4,11.4,10.4
KA106AU,KA111DJ,11846.5,809.8,38.4,28.5
G759FQ,G745DJ,4082.6,468.0,26.8,64.2
IV27LD,IV27LL,1072.0,162.9,10.2,0
IV35JS,IV27LL,8939.4,867.3,53.2,32.0
G13HL,G116DT,5326.7,559.9,31.7,46.3
G13HL,G429SY,5700.4,607.7,53.2,43.1
G428TN,G429SY,2683.6,314.5,19.0,17.9
G431RY,G429SY,2323.2,237.9,27.7,22.6
G13HL,EH127TD,68817.0,2968.8,449.8,422.1
