,PO1,PD1,origin_lat,origin_lng,destination_lat,destination_lng
6403,KY50XR,KY26QA,56.173089,-3.241167,56.132689,-3.196873
6404,KY13NU,KY26QA,56.140139,-3.152301,56.132689,-3.196873
6405,KY13AS,KY26QA,56.130319,-3.124898,56.132689,-3.196873
6406,KW14JT,KW15EL,58.446129,-3.089565,58.441379,-3.088322
6407,G642BQ,G642QR,55.897058,-4.232714,55.914527,-4.199393
6408,G662LU,G642QR,55.944132,-4.134979,55.914527,-4.199393
6409,G641PR,G642QR,55.908202,-4.197274,55.914527,-4.199393
6410,G521AG,G642QR,55.847454,-4.331167,55.914527,-4.199393
6411,KY118TN,KY118DJ,56.059505,-3.434343,56.058243,-3.417659
6412,KY118TN,KY118DH,56.059505,-3.434343,56.058329,-3.424969
6413,KY118TN,KY118AD,56.059505,-3.434343,56.057455,-3.439888
6414,DD14NG,DD52EN,56.453453,-2.987644,56.466313,-2.861804
6415,ZE10DT,ZE10YB,60.15292,-1.144935,60.148262,-1.135583
6416,ZE10DT,ZE29XQ,60.15292,-1.144935,60.359423,-1.27013
6417,ML54LT,ML54LT,55.845363,-4.014565,55.845363,-4.014565
6418,ML54LT,ML54LT,55.845363,-4.014565,55.845363,-4.014565
6419,ML66AF,ML54LT,55.866516,-3.98073,55.845363,-4.014565
6420,ML84LN,ML85DW,55.72944,-3.820587,55.736807,-3.838818
6421,ML84LN,ML84NG,55.72944,-3.820587,55.730326,-3.819625
6422,G776SR,G432XU,55.779969,-4.33951,55.823266,-4.287746
6423,IV11SY,IV108UE,57.484698,-4.221069,57.590258,-4.11744
6424,IV108SE,IV108UE,57.581816,-4.11076,57.590258,-4.11744
6425,G413EX,G27HX,55.826594,-4.279593,55.861202,-4.262489
6426,PA238NF,PA238NL,55.959765,-4.920822,55.961728,-4.922204
6427,PA238NF,PA237HW,55.959765,-4.920822,55.95198,-4.928022
6428,IV636XG,IV636UT,57.296263,-4.493271,57.328917,-4.482441
6429,IV636UA,IV636UT,57.339383,-4.503041,57.328917,-4.482441
6430,PA191TD,PA151LE,55.95294,-4.822749,55.951394,-4.760478
6431,PA168TT,PA151LE,55.947706,-4.773399,55.951394,-4.760478
6432,PA151PX,PA151LE,55.951521,-4.757235,55.951394,-4.760478
6433,PA160YF,PA151LE,55.939544,-4.805951,55.951394,-4.760478
6434,PA191HU,PA151LE,55.946791,-4.814116,55.951394,-4.760478
6435,PA168HB,PA151LE,55.950057,-4.770795,55.951394,-4.760478
6436,PA160RE,PA151LE,55.936539,-4.826889,55.951394,-4.760478
6437,PA48XA,PA151LE,55.867237,-4.401658,55.951394,-4.760478
6438,PA154UP,PA151LE,55.940632,-4.74171,55.951394,-4.760478
6439,PA151PG,PA151LE,55.948063,-4.761122,55.951394,-4.760478
6440,PA151LB,PA151LE,55.950808,-4.760949,55.951394,-4.760478
6441,PA168HE,PA151LE,55.950662,-4.771063,55.951394,-4.760478
6442,PA200BT,PA151LE,55.837642,-5.054928,55.951394,-4.760478
6443,PA154DL,PA151LE,55.943228,-4.767072,55.951394,-4.760478
6444,PA168BL,PA151LE,55.955864,-4.773566,55.951394,-4.760478
6445,FK70LJ,FK79AJ,56.093268,-3.934528,56.103985,-3.93825
6446,FK79AY,FK79AJ,56.102546,-3.93829,56.103985,-3.93825
6447,FK70LJ,G336EH,56.093268,-3.934528,55.888357,-4.132938
6448,AB119QP,AB117WA,57.137329,-2.080494,57.132112,-2.101314
6449,DD97AH,DD97PT,56.731435,-2.65374,56.756419,-2.637793
6450,DD83RN,DD97PT,56.654782,-2.888729,56.756419,-2.637793
6451,G132JW,G132XD,55.903265,-4.338403,55.890576,-4.337529
6452,DD68SA,DD68RA,56.413917,-3.035519,56.431391,-2.937258
6453,KY118RP,KY114LP,56.06007,-3.438299,56.081508,-3.408904
6454,KY114UF,KY114LP,56.074172,-3.42565,56.081508,-3.408904
6455,KY40BH,KY114LP,56.136374,-3.374575,56.081508,-3.408904
6456,KY129YG,KY114LP,56.079635,-3.476901,56.081508,-3.408904
6457,KY113AH,KY114LP,56.060602,-3.445096,56.081508,-3.408904
6458,KY113BH,KY114LP,56.061543,-3.448376,56.081508,-3.408904
6459,KY49AW,KY114LP,56.115218,-3.359811,56.081508,-3.408904
6460,KY119SU,KY114LP,56.035251,-3.360802,56.081508,-3.408904
6461,KY118RP,KY114LT,56.06007,-3.438299,56.065635,-3.417079
6462,G767AH,G614AE,55.786975,-4.27801,55.918125,-4.341204
6463,KA12DL,KA31PX,55.607857,-4.503892,55.624056,-4.509961
6464,G38BW,G628ND,55.858673,-4.27508,55.949711,-4.3166
6465,G38BW,G613DF,55.858673,-4.27508,55.931501,-4.31095
6466,G133JB,G613DF,55.89732,-4.356057,55.931501,-4.31095
6467,G611EL,G613DF,55.912453,-4.342493,55.931501,-4.31095
6468,G661TF,G613DF,55.947058,-4.140393,55.931501,-4.31095
