"Address",Latitude,Longitude
"EH49 6",55.9722,-3.60162
"EH49 7",55.9807,-3.60152
"EH5 1",55.9773,-3.22794
"EH5 2",55.9726,-3.22651
"EH5 3",55.9738,-3.20438
"EH51 0",56.0102,-3.61797
"EH51 9",56.0125,-3.59631
"EH52 5",55.9306,-3.48091
"EH52 6",55.9421,-3.49216
"EH53 0",55.8946,-3.47414
"EH54 5",55.9018,-3.50047
"EH54 6",55.8901,-3.52127
"EH54 7",55.8865,-3.5378
"EH54 8",55.9025,-3.54658
"EH54 9",55.8717,-3.51542
"EH55 8",55.8485,-3.57368
"EH6 4",55.9753,-3.18742
"EH6 5",55.9692,-3.17946
"EH6 6",55.9742,-3.17413
"EH6 7",55.9711,-3.16082
"EH6 8",55.9663,-3.169
"EH7 4",55.9629,-3.18517
"EH7 5",55.9592,-3.17062
"EH7 6",55.9601,-3.146
"EH8 7",55.9522,-3.14492
"EH8 8",55.9536,-3.17366
"EH8 9",55.9459,-3.18165
"EH9 1",55.9367,-3.18967
"EH9 2",55.9321,-3.18662
"EH9 3",55.9273,-3.18083
"FK1 1",55.9991,-3.78162
"FK1 2",55.9679,-3.76389
"FK1 3",55.9373,-3.8326
"FK1 4",56.002,-3.81838
"FK1 5",55.9954,-3.79804
"FK10 1",56.1132,-3.79227
"FK10 2",56.1268,-3.81796
"FK10 3",56.1274,-3.77695
"FK10 4",56.0867,-3.72906
"FK11 7",56.1499,-3.85117
"FK12 5",56.1521,-3.80153
"FK13 6",56.1502,-3.74249
"FK14 7",56.1629,-3.66671
"FK15 0",56.1963,-3.95155
"FK15 9",56.2053,-3.95147
"FK16 6",56.1911,-4.05912
"FK17 8",56.2405,-4.21941
"FK18 8",56.3161,-4.31649
"FK19 8",56.3733,-4.31141
"FK2 0",55.9817,-3.71629
"FK2 7",56.0118,-3.78681
"FK2 8",56.0391,-3.78542
"FK2 9",55.9966,-3.75146
"FK20 8",56.4074,-4.61058
"FK21 8",56.4662,-4.32088
"FK3 0",56.0054,-3.7166
"FK3 8",56.0131,-3.72833
"FK3 9",56.0135,-3.70972
"FK4 1",55.9992,-3.91291
"FK4 2",55.9935,-3.89425
